params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 27, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 2, 28, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 2, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 1, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 2, 28, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 28, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 29, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 2, 29, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 1, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 2, 29, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 29, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 1, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 2, 30, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 30, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 31, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 31, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 31, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 2, 31, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 2, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 2, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 1, 31, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 31, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 32, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), False, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), True, 2, 32, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (KCI), False, 2, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 1, 32, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, True, 2, 32, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, MC, False, 2, 32, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Full PC (oracle), False, 2, 33, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (oracle), False, 2, 33, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), True, 2, 33, 1, 2, 1.0, 1, 0.0, 1.0, 0.0, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (KCI), False, 2, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), True, 2, 33, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (Linear), False, 2, 33, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), True, 2, 33, 1, 2, 1.0, 1, 1.0, 0.0, 1.0, 1.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (GAM), False, 2, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 1.0
0, 2, 2, None, [[];[0]], 500, None, 50, cdnod, complete, Min changes (FisherZ), True, 1, 33, 2, 2, 1.0, 1, 0.0, 0.0, 1, 0.0, 0.0
